t,y
1.41100000e+00,2.28826890e+00
1.41200000e+00,2.28900211e+00
1.41300000e+00,2.28973546e+00
1.41400000e+00,2.29046896e+00
1.41500000e+00,2.29120259e+00
1.41600000e+00,2.29193636e+00
1.41700000e+00,2.29267028e+00
1.41800000e+00,2.29340433e+00
1.41900000e+00,2.29413853e+00
1.42000000e+00,2.29487286e+00
1.42100000e+00,2.29560734e+00
1.42200000e+00,2.29634195e+00
1.42300000e+00,2.29707671e+00
1.42400000e+00,2.29781160e+00
1.42500000e+00,2.29854663e+00
1.42600000e+00,2.29928180e+00
1.42700000e+00,2.30001712e+00
1.42800000e+00,2.30075257e+00
1.42900000e+00,2.30148816e+00
1.43000000e+00,2.30222389e+00
1.43100000e+00,2.30295975e+00
1.43200000e+00,2.30369576e+00
1.43300000e+00,2.30443190e+00
1.43400000e+00,2.30516819e+00
1.43500000e+00,2.30590461e+00
1.43600000e+00,2.30664117e+00
1.43700000e+00,2.30737787e+00
1.43800000e+00,2.30811471e+00
1.43900000e+00,2.30885168e+00
1.44000000e+00,2.30958880e+00
1.44100000e+00,2.31032605e+00
1.44200000e+00,2.31106344e+00
1.44300000e+00,2.31180097e+00
1.44400000e+00,2.31253863e+00
1.44500000e+00,2.31327643e+00
1.44600000e+00,2.31401437e+00
1.44700000e+00,2.31475245e+00
1.44800000e+00,2.31549067e+00
1.44900000e+00,2.31622902e+00
1.45000000e+00,2.31696751e+00
1.45100000e+00,2.31770614e+00
1.45200000e+00,2.31844490e+00
1.45300000e+00,2.31918380e+00
1.45400000e+00,2.31992284e+00
1.45500000e+00,2.32066201e+00
1.45600000e+00,2.32140132e+00
1.45700000e+00,2.32214077e+00
1.45800000e+00,2.32288035e+00
1.45900000e+00,2.32362007e+00
1.46000000e+00,2.32435993e+00
1.46100000e+00,2.32509992e+00
1.46200000e+00,2.32584005e+00
1.46300000e+00,2.32658031e+00
1.46400000e+00,2.32732071e+00
1.46500000e+00,2.32806125e+00
1.46600000e+00,2.32880192e+00
1.46700000e+00,2.32954273e+00
1.46800000e+00,2.33028367e+00
1.46900000e+00,2.33102475e+00
1.47000000e+00,2.33176596e+00
1.47100000e+00,2.33250731e+00
1.47200000e+00,2.33324879e+00
1.47300000e+00,2.33399041e+00
1.47400000e+00,2.33473216e+00
1.47500000e+00,2.33547405e+00
1.47600000e+00,2.33621608e+00
1.47700000e+00,2.33695823e+00
1.47800000e+00,2.33770053e+00
1.47900000e+00,2.33844295e+00
1.48000000e+00,2.33918552e+00
1.48100000e+00,2.33992821e+00
1.48200000e+00,2.34067104e+00
1.48300000e+00,2.34141401e+00
1.48400000e+00,2.34215711e+00
1.48500000e+00,2.34290034e+00
1.48600000e+00,2.34364370e+00
1.48700000e+00,2.34438721e+00
1.48800000e+00,2.34513084e+00
1.48900000e+00,2.34587461e+00
1.49000000e+00,2.34661851e+00
1.49100000e+00,2.34736254e+00
1.49200000e+00,2.34810671e+00
1.49300000e+00,2.34885101e+00
1.49400000e+00,2.34959545e+00
1.49500000e+00,2.35034001e+00
1.49600000e+00,2.35108471e+00
1.49700000e+00,2.35182955e+00
1.49800000e+00,2.35257451e+00
1.49900000e+00,2.35331961e+00
1.50000000e+00,2.35406484e+00
1.50100000e+00,2.35481021e+00
1.50200000e+00,2.35555571e+00
1.50300000e+00,2.35630133e+00
1.50400000e+00,2.35704710e+00
1.50500000e+00,2.35779299e+00
1.50600000e+00,2.35853902e+00
1.50700000e+00,2.35928517e+00
1.50800000e+00,2.36003146e+00
1.50900000e+00,2.36077788e+00
1.51000000e+00,2.36152444e+00
1.51100000e+00,2.36227112e+00
1.51200000e+00,2.36301794e+00
1.51300000e+00,2.36376489e+00
1.51400000e+00,2.36451197e+00
1.51500000e+00,2.36525918e+00
1.51600000e+00,2.36600652e+00
1.51700000e+00,2.36675399e+00
1.51800000e+00,2.36750160e+00
1.51900000e+00,2.36824933e+00
1.52000000e+00,2.36899720e+00
1.52100000e+00,2.36974520e+00
1.52200000e+00,2.37049332e+00
1.52300000e+00,2.37124158e+00
1.52400000e+00,2.37198997e+00
1.52500000e+00,2.37273849e+00
1.52600000e+00,2.37348714e+00
1.52700000e+00,2.37423592e+00
1.52800000e+00,2.37498483e+00
1.52900000e+00,2.37573387e+00
1.53000000e+00,2.37648304e+00
1.53100000e+00,2.37723234e+00
1.53200000e+00,2.37798177e+00
1.53300000e+00,2.37873133e+00
1.53400000e+00,2.37948102e+00
1.53500000e+00,2.38023084e+00
1.53600000e+00,2.38098079e+00
1.53700000e+00,2.38173087e+00
1.53800000e+00,2.38248108e+00
1.53900000e+00,2.38323141e+00
1.54000000e+00,2.38398188e+00
1.54100000e+00,2.38473247e+00
1.54200000e+00,2.38548320e+00
1.54300000e+00,2.38623405e+00
1.54400000e+00,2.38698503e+00
1.54500000e+00,2.38773614e+00
1.54600000e+00,2.38848738e+00
1.54700000e+00,2.38923875e+00
1.54800000e+00,2.38999025e+00
1.54900000e+00,2.39074187e+00
1.55000000e+00,2.39149362e+00
1.55100000e+00,2.39224550e+00
1.55200000e+00,2.39299751e+00
1.55300000e+00,2.39374965e+00
1.55400000e+00,2.39450192e+00
1.55500000e+00,2.39525431e+00
1.55600000e+00,2.39600683e+00
1.55700000e+00,2.39675948e+00
1.55800000e+00,2.39751226e+00
1.55900000e+00,2.39826516e+00
1.56000000e+00,2.39901819e+00
1.56100000e+00,2.39977135e+00
1.56200000e+00,2.40052464e+00
1.56300000e+00,2.40127805e+00
1.56400000e+00,2.40203159e+00
1.56500000e+00,2.40278526e+00
1.56600000e+00,2.40353905e+00
1.56700000e+00,2.40429297e+00
1.56800000e+00,2.40504702e+00
1.56900000e+00,2.40580119e+00
1.57000000e+00,2.40655550e+00
1.57100000e+00,2.40730992e+00
1.57200000e+00,2.40806448e+00
1.57300000e+00,2.40881916e+00
1.57400000e+00,2.40957396e+00
1.57500000e+00,2.41032890e+00
1.57600000e+00,2.41108396e+00
1.57700000e+00,2.41183914e+00
1.57800000e+00,2.41259445e+00
1.57900000e+00,2.41334989e+00
1.58000000e+00,2.41410545e+00
1.58100000e+00,2.41486114e+00
1.58200000e+00,2.41561696e+00
1.58300000e+00,2.41637289e+00
1.58400000e+00,2.41712896e+00
1.58500000e+00,2.41788515e+00
1.58600000e+00,2.41864147e+00
1.58700000e+00,2.41939791e+00
1.58800000e+00,2.42015447e+00
1.58900000e+00,2.42091116e+00
1.59000000e+00,2.42166798e+00
1.59100000e+00,2.42242492e+00
1.59200000e+00,2.42318199e+00
1.59300000e+00,2.42393918e+00
1.59400000e+00,2.42469649e+00
1.59500000e+00,2.42545393e+00
1.59600000e+00,2.42621149e+00
1.59700000e+00,2.42696918e+00
1.59800000e+00,2.42772699e+00
1.59900000e+00,2.42848493e+00
1.60000000e+00,2.42924299e+00
1.60100000e+00,2.43000118e+00
1.60200000e+00,2.43075949e+00
1.60300000e+00,2.43151792e+00
1.60400000e+00,2.43227648e+00
1.60500000e+00,2.43303516e+00
1.60600000e+00,2.43379396e+00
1.60700000e+00,2.43455289e+00
1.60800000e+00,2.43531194e+00
1.60900000e+00,2.43607111e+00
1.61000000e+00,2.43683041e+00
1.61100000e+00,2.43758983e+00
1.61200000e+00,2.43834937e+00
1.61300000e+00,2.43910904e+00
1.61400000e+00,2.43986883e+00
1.61500000e+00,2.44062874e+00
1.61600000e+00,2.44138878e+00
1.61700000e+00,2.44214894e+00
1.61800000e+00,2.44290922e+00
1.61900000e+00,2.44366962e+00
1.62000000e+00,2.44443015e+00
1.62100000e+00,2.44519079e+00
1.62200000e+00,2.44595157e+00
1.62300000e+00,2.44671246e+00
1.62400000e+00,2.44747347e+00
1.62500000e+00,2.44823461e+00
1.62600000e+00,2.44899587e+00
1.62700000e+00,2.44975725e+00
1.62800000e+00,2.45051875e+00
1.62900000e+00,2.45128038e+00
1.63000000e+00,2.45204212e+00
1.63100000e+00,2.45280399e+00
1.63200000e+00,2.45356598e+00
1.63300000e+00,2.45432809e+00
1.63400000e+00,2.45509032e+00
1.63500000e+00,2.45585268e+00
1.63600000e+00,2.45661515e+00
1.63700000e+00,2.45737775e+00
1.63800000e+00,2.45814047e+00
1.63900000e+00,2.45890330e+00
1.64000000e+00,2.45966626e+00
1.64100000e+00,2.46042934e+00
1.64200000e+00,2.46119254e+00
1.64300000e+00,2.46195586e+00
1.64400000e+00,2.46271930e+00
1.64500000e+00,2.46348286e+00
1.64600000e+00,2.46424655e+00
1.64700000e+00,2.46501035e+00
1.64800000e+00,2.46577427e+00
1.64900000e+00,2.46653831e+00
1.65000000e+00,2.46730248e+00
1.65100000e+00,2.46806676e+00
1.65200000e+00,2.46883116e+00
1.65300000e+00,2.46959569e+00
1.65400000e+00,2.47036033e+00
1.65500000e+00,2.47112509e+00
1.65600000e+00,2.47188997e+00
1.65700000e+00,2.47265497e+00
1.65800000e+00,2.47342009e+00
1.65900000e+00,2.47418533e+00
1.66000000e+00,2.47495069e+00
1.66100000e+00,2.47571617e+00
1.66200000e+00,2.47648177e+00
1.66300000e+00,2.47724749e+00
1.66400000e+00,2.47801332e+00
1.66500000e+00,2.47877928e+00
1.66600000e+00,2.47954535e+00
1.66700000e+00,2.48031154e+00
1.66800000e+00,2.48107785e+00
1.66900000e+00,2.48184428e+00
1.67000000e+00,2.48261083e+00
1.67100000e+00,2.48337750e+00
1.67200000e+00,2.48414428e+00
1.67300000e+00,2.48491118e+00
1.67400000e+00,2.48567820e+00
1.67500000e+00,2.48644534e+00
1.67600000e+00,2.48721260e+00
1.67700000e+00,2.48797998e+00
1.67800000e+00,2.48874747e+00
1.67900000e+00,2.48951508e+00
1.68000000e+00,2.49028281e+00
1.68100000e+00,2.49105065e+00
1.68200000e+00,2.49181862e+00
1.68300000e+00,2.49258670e+00
1.68400000e+00,2.49335490e+00
1.68500000e+00,2.49412321e+00
1.68600000e+00,2.49489165e+00
1.68700000e+00,2.49566020e+00
1.68800000e+00,2.49642886e+00
1.68900000e+00,2.49719765e+00
1.69000000e+00,2.49796655e+00
1.69100000e+00,2.49873557e+00
1.69200000e+00,2.49950470e+00
1.69300000e+00,2.50027395e+00
1.69400000e+00,2.50104332e+00
1.69500000e+00,2.50181281e+00
1.69600000e+00,2.50258241e+00
1.69700000e+00,2.50335213e+00
1.69800000e+00,2.50412196e+00
1.69900000e+00,2.50489191e+00
1.70000000e+00,2.50566198e+00
1.70100000e+00,2.50643216e+00
1.70200000e+00,2.50720246e+00
1.70300000e+00,2.50797287e+00
1.70400000e+00,2.50874340e+00
1.70500000e+00,2.50951405e+00
1.70600000e+00,2.51028481e+00
1.70700000e+00,2.51105569e+00
1.70800000e+00,2.51182668e+00
1.70900000e+00,2.51259779e+00
1.71000000e+00,2.51336902e+00
1.71100000e+00,2.51414036e+00
1.71200000e+00,2.51491181e+00
1.71300000e+00,2.51568338e+00
1.71400000e+00,2.51645506e+00
1.71500000e+00,2.51722686e+00
1.71600000e+00,2.51799878e+00
1.71700000e+00,2.51877081e+00
1.71800000e+00,2.51954295e+00
1.71900000e+00,2.52031521e+00
1.72000000e+00,2.52108759e+00
1.72100000e+00,2.52186008e+00
1.72200000e+00,2.52263268e+00
1.72300000e+00,2.52340540e+00
1.72400000e+00,2.52417823e+00
1.72500000e+00,2.52495117e+00
1.72600000e+00,2.52572423e+00
1.72700000e+00,2.52649741e+00
1.72800000e+00,2.52727070e+00
1.72900000e+00,2.52804410e+00
1.73000000e+00,2.52881762e+00
1.73100000e+00,2.52959125e+00
1.73200000e+00,2.53036499e+00
1.73300000e+00,2.53113885e+00
1.73400000e+00,2.53191282e+00
1.73500000e+00,2.53268690e+00
1.73600000e+00,2.53346110e+00
1.73700000e+00,2.53423541e+00
